Read in 1059 train and 133 test
0.1
Update 1	TP -729.741713	HP -87.879147	TA 0.618508	HA 0.624060
Update 6	TP -1150.050882	HP -166.363268	TA 0.550519	HA 0.488722
Update 11	TP -807.451827	HP -120.022968	TA 0.674221	HA 0.646617
Update 16	TP -584.815915	HP -86.683681	TA 0.752597	HA 0.714286
Update 21	TP -552.862841	HP -77.557051	TA 0.773371	HA 0.751880
Update 26	TP -523.220376	HP -74.902396	TA 0.778093	HA 0.729323
Update 31	TP -497.258139	HP -71.328347	TA 0.792257	HA 0.736842
Update 36	TP -491.211158	HP -67.265301	TA 0.795090	HA 0.781955
Update 41	TP -474.481540	HP -60.454201	TA 0.813975	HA 0.789474
Update 46	TP -459.961433	HP -63.247314	TA 0.834750	HA 0.796992
Update 51	TP -518.364809	HP -64.904836	TA 0.778093	HA 0.774436
Update 56	TP -535.135774	HP -60.815676	TA 0.791313	HA 0.781955
Update 61	TP -492.104871	HP -57.839415	TA 0.807365	HA 0.796992
Update 66	TP -481.695312	HP -56.950494	TA 0.813031	HA 0.819549
Update 71	TP -438.196768	HP -56.442534	TA 0.834750	HA 0.827068
Update 76	TP -457.691930	HP -68.081025	TA 0.847025	HA 0.819549
Update 81	TP -544.325986	HP -80.099979	TA 0.827195	HA 0.812030
Update 86	TP -463.550539	HP -68.247210	TA 0.844193	HA 0.834586
Update 91	TP -580.977443	HP -75.185758	TA 0.790368	HA 0.796992
Update 96	TP -626.259977	HP -80.229511	TA 0.778093	HA 0.796992
Update 101	TP -445.955706	HP -55.608416	TA 0.846081	HA 0.834586
Update 106	TP -455.694836	HP -59.053505	TA 0.846081	HA 0.842105
Update 111	TP -434.550536	HP -53.929926	TA 0.851747	HA 0.827068
Update 116	TP -400.805599	HP -48.768314	TA 0.859301	HA 0.857143
Update 121	TP -385.930101	HP -46.175719	TA 0.867800	HA 0.872180
Update 126	TP -380.240810	HP -45.601855	TA 0.871577	HA 0.879699
Update 131	TP -381.596161	HP -46.086571	TA 0.869688	HA 0.872180
Update 136	TP -379.547533	HP -46.086599	TA 0.869688	HA 0.872180
Update 141	TP -480.338330	HP -57.607965	TA 0.837583	HA 0.834586
